key,en,it
errors.fileTooLarge10,File is too large. Please upload an image smaller than 10MB.,File troppo grande. Carica un’immagine inferiore a 10MB.
errors.prepareFail,Failed to prepare image. Please try another file.,Impossibile preparare l’immagine. Prova un altro file.
errors.onlyPngJpg,Please select a PNG or JPG image.,Seleziona un’immagine PNG o JPG.
errors.maxFile,File is too large. Max allowed size is {{mb}}MB.,File troppo grande. Dimensione massima consentita: {{mb}}MB.
editor.title,Online Pixel Art Maker,Generatore di pixel art online
editor.downloadBtn,Download Pixel Art Image,Download Pixel Art Image
editor.uploadBtn,Upload Image,Upload Image
editor.section.general,General ▾,General ▾
adjustments.reset.title,Reset Sliders,Reset Sliders
adjustments.reset.all,Reset All,Reset All
adjustments.reset.tooltip,Reset Pixel Size / Brightness / Contrast / Saturation,Reset Pixel Size / Brightness / Contrast / Saturation
adjustments.reset.pixelSizeBtnTitle,Reset the Pixel Size,Reset the Pixel Size
adjustments.reset.brightnessBtnTitle,Reset Brightness,Reset Brightness
adjustments.reset.contrastBtnTitle,Reset Contrast,Reset Contrast
adjustments.reset.saturationBtnTitle,Reset Saturation,Reset Saturation
adjustments.pixelSize,Pixel Size: {{value}},Pixel Size: {{value}}
adjustments.section.color,Color Adjustments,Color Adjustments
adjustments.brightness,Brightness: {{value}},Brightness: {{value}}
adjustments.contrast,Contrast: {{value}},Contrast: {{value}}
adjustments.saturation,Saturation: {{value}},Saturation: {{value}}
adjustments.palette.label,Palette,Palette
adjustments.palette.none,None,None
adjustments.palette.custom,Custom,Custom
adjustments.palette.note,Pico‑8 is a fixed palette. Other names without built‑in palette palette colors will auto‑generate palettes by their size (e.g. Sunset 8 → 8 palette palette colors).,Pico‑8 is a fixed palette. Other names without built‑in palette palette colors will auto‑generate palettes by their size (e.g. Sunset 8 → 8 palette palette colors).
adjustments.colorDistance.label,Color distance,Color distance
adjustments.colorDistance.rgb,RGB (fast),RGB (fast)
adjustments.colorDistance.lab,"LAB (accurate, slower)","LAB (accurate, slower)"
adjustments.autoPalette,Generate palette from image,Generate palette from image
adjustments.paletteSize,# Palette Palette Colors: {{value}},# Palette Palette Colors: {{value}}
adjustments.dither,Enable dithering (Floyd–Steinberg),Enable dithering (Floyd–Steinberg)
adjustments.zoom,Zoom: {{value}}x,Zoom: {{value}}x
adjustments.grid,Show grid,Show grid
export.label.format,Export format,Export format
export.label.size,Export size,Export size
export.option.png,PNG (lossless),PNG (lossless)
export.option.jpeg,JPEG,JPEG
export.option.webp,WebP,WebP
export.size.xs,XS (0.5×),XS (0.5×)
export.size.sm,Small (1×),Small (1×)
export.size.lg,Large (2×),Large (2×)
export.size.xl,XL (4×),XL (4×)
export.transparent.label,Transparent background (PNG/WebP),Transparent background (PNG/WebP)
export.quality.label,Quality: {{percent}}%,Quality: {{percent}}%
notFound.seoTitle,Page Not Found | Pixel Art Village,Pagina non trovata | pixel art Village
notFound.title,Page Not Found,Pagina non trovata
notFound.desc,The page you're looking for doesn't exist or has been moved. Return to Pixel Art Village to start creating amazing pixel art.,La pagina che cerchi non esiste o è stata spostata. Torna a pixel art Village per continuare a creare splendide opere in pixel.
notFound.backHome,← Back to Pixel Art Village,← Torna a pixel art Village
notFound.popularPages,Or try these popular pages:,Oppure prova queste pagine popolari:
notFound.links.home,Home,Home
notFound.links.pngConverter,PNG to Pixel Art Converter,Convertitore PNG in pixel art
notFound.links.jpgConverter,JPG to Pixel Art Converter,Convertitore JPG in pixel art
notFound.links.about,About Us,Chi siamo
pseo.relatedHeading,Related Pixel Art Converters,Related Pixel Art Converters
pseo.siteNavigationTitle,Site Navigation,Site Navigation
pseo.notFound.seoTitle,Page Not Found | pixel art Village,Pagina del convertitore non trovata | pixel art Village
pseo.notFound.title,Page not found,Pagina del convertitore non trovata
pseo.notFound.desc,The converter page you're looking for does not exist.,La pagina del convertitore che stai cercando non esiste.
showcase.title,From Image to Pixels: See What Our Image Processor Can Do,From Image to Pixels: See What Our Image Processor Can Do
showcase.desc,With,With
showcase.descFull,See how our image to pixel art converter transforms your photos into crisp pixel art.,See how our image to pixel art converter transforms your photos into crisp pixel art.
showcase.before,Before,Before
showcase.after,After,After
showcase.alt.before,Original image before conversion to pixel art,Original image before conversion to pixel art
showcase.alt.after,A landscape image converted into 8-bit style pixel art by the pixel art Village generator,A landscape image converted into 8-bit style pixel art by the pixel art Village generator
lang.label,Language,Language
wplace.title,Perfect Tool for pixel art Village Users,Perfect Tool for pixel art Village Users
wplace.desc,"The ultimate companion for pixel art Village — convert any image into clean pixel visuals with real‑time preview, smart palettes, and instant export. Create pixel art with our image tools.","The ultimate companion for pixel art Village — convert any image into clean pixel visuals with real‑time preview, smart palettes, and instant export. Create pixel art with our image tools."
wplace.features.free.title,100% Free,100% Free
wplace.features.free.desc,Completely free for everyone. No hidden costs or subscriptions — create unlimited pixel visuals from any image.,Completely free for everyone. No hidden costs or subscriptions — create unlimited pixel visuals from any image.
wplace.features.privacy.title,Privacy First,Privacy First
wplace.features.privacy.desc,"All processing happens in your browser. Your images never leave your device — a private, secure workflow by design.","All processing happens in your browser. Your images never leave your device — a private, secure workflow by design."
wplace.features.easy.title,Easy for All Players,Easy for All Players
wplace.features.easy.desc,Intuitive interface and fast feedback. Convert any image to paintable pixel visuals in just a few clicks with custom palette options.,Intuitive interface and fast feedback. Convert any image to paintable pixel visuals in just a few clicks with custom palette options.
wplace.features.size.title,No Size Limits,No Size Limits
wplace.features.size.desc,Upload images of any size — from tiny icons to large graphics — with smooth scaling and responsive image previews using advanced palettes.,Upload images of any size — from tiny icons to large graphics — with smooth scaling and responsive image previews using advanced palettes.
features.title,Image to Pixel Converter with Custom Palette,Image to Pixel Converter with Custom Palette
features.desc,Transform images into pixel‑perfect art. Live‑tune details with custom palettes and swatch control. Instant preview and sprite‑ready PNG export.,Transform images into pixel‑perfect art. Live‑tune details with custom palettes and swatch control. Instant preview and sprite‑ready PNG export.
features.palette.title,Palette control,Palette control
features.palette.desc,"Our image to pixel art converter gives precise palette control. Choose built-in retro palettes or auto-extract tones from your image, then lock, reorder, and fine-tune hues to match your style. With consistent palettes, your image to pixel art conversions keep sprites readable, game-ready, and easy to reuse across projects.","Our image to pixel art converter gives precise palette control. Choose built-in retro palettes or auto-extract tones from your image, then lock, reorder, and fine-tune hues to match your style. With consistent palettes, your image to pixel art conversions keep sprites readable, game-ready, and easy to reuse across projects."
features.live.title,Live adjustments,Live adjustments
features.live.desc,"Tweak pixel size, dithering, contrast, and brightness while your image to pixel art results update instantly. Side-by-side changes appear with no lag, so you can compare options and settle on the perfect look faster. Live preview reduces guesswork and keeps your image to pixel art conversions predictable on every export.","Tweak pixel size, dithering, contrast, and brightness while your image to pixel art results update instantly. Side-by-side changes appear with no lag, so you can compare options and settle on the perfect look faster. Live preview reduces guesswork and keeps your image to pixel art conversions predictable on every export."
features.clientSide.title,100% client‑side,100% client‑side
features.clientSide.desc,"All conversion runs 100% client-side in your browser. Images never leave your device, and offline builds are possible, keeping assets private and safe. Pixel Art Village protects your work while delivering fast, secure processing across desktop and mobile. With Pixel Art Village you retain control from first preview to final export.","All conversion runs 100% client-side in your browser. Images never leave your device, and offline builds are possible, keeping assets private and safe. Pixel Art Village protects your work while delivering fast, secure processing across desktop and mobile. With Pixel Art Village you retain control from first preview to final export."
how.title,How pixel art Village works,Come funziona pixel art Village
how.desc,Use pixel art Village to convert image to pixel art in three simple steps.,Crea pixel art in tre semplici passaggi.
how.steps.upload,Upload,Carica
how.steps.adjust,Adjust,Regola
how.steps.download,Download,Scarica
how.steps.upload.desc,"Choose or drag your image (PNG, JPG) into the image processor for image conversion.","Scegli o trascina la tua immagine (PNG, JPG) nel pixelizzatore di immagini."
how.steps.adjust.desc,"Use live controls to fine‑tune pixel size, palette, and the pixel grid with custom palettes.","Regola in tempo reale la dimensione dei pixel, la palette e la griglia dei pixel."
how.steps.download.desc,One click to export from the image generator and share your image creation.,Esporta con un clic dal generatore di pixel art e condividi.
privacy.h1,Privacy Policy,Privacy Policy
privacy.sections.overview.title,Overview,Overview
privacy.sections.overview.p1,"pixel art Village respects your privacy. This policy explains what data we process, how we use cookies (including Google AdSense cookies), and your choices. If you have questions, please contact us via the email on the Contact page.","pixel art Village respects your privacy. This policy explains what data we process, how we use cookies (including Google AdSense cookies), and your choices. If you have questions, please contact us via the email on the Contact page."
privacy.sections.local.title,Local Image Processing,Local Image Processing
privacy.sections.local.p1,"Your images never leave your device. All image processing happens locally in your browser. We do not upload, store, or share your image files on our servers.","Your images never leave your device. All image processing happens locally in your browser. We do not upload, store, or share your image files on our servers."
privacy.sections.collect.title,Information We Collect,Information We Collect
privacy.sections.collect.li1,"Technical data for site operation (e.g., basic device/browser info) necessary to deliver the service.","Technical data for site operation (e.g., basic device/browser info) necessary to deliver the service."
privacy.sections.collect.li2,"Usage data in aggregate to improve features (if analytics is enabled, we avoid collecting personally identifiable information).","Usage data in aggregate to improve features (if analytics is enabled, we avoid collecting personally identifiable information)."
privacy.sections.collect.li3,Advertising data from Google AdSense (see below) if ads are displayed.,Advertising data from Google AdSense (see below) if ads are displayed.
privacy.sections.collect.p2,We do not require account registration. We do not knowingly collect sensitive personal data.,We do not require account registration. We do not knowingly collect sensitive personal data.
privacy.sections.cookies.title,Cookies and AdSense,Cookies and AdSense
privacy.sections.cookies.p1,"We may use cookies and similar technologies to operate the website and improve your experience. If Google AdSense is enabled, Google and its partners may use cookies to serve ads based on your visits to this and other sites.","We may use cookies and similar technologies to operate the website and improve your experience. If Google AdSense is enabled, Google and its partners may use cookies to serve ads based on your visits to this and other sites."
privacy.sections.cookies.learn,Learn how Google uses information from sites or apps that use Google services: <link>policies.google.com/technologies/partner-sites</link>,Learn how Google uses information from sites or apps that use Google services:
privacy.sections.cookies.manage,Manage ad personalization: <link>adssettings.google.com</link>,Manage ad personalization:
privacy.sections.cookies.more,More on Google ads and cookies: <link>policies.google.com/technologies/ads</link>,More on Google ads and cookies:
privacy.sections.third.title,Third‑Party Partners,Third‑Party Partners
privacy.sections.third.p1,"We may integrate third‑party services (e.g., Google AdSense). These partners may process data under their own privacy policies. We encourage you to review their policies to understand data handling practices.","We may integrate third‑party services (e.g., Google AdSense). These partners may process data under their own privacy policies. We encourage you to review their policies to understand data handling practices."
privacy.sections.use.title,Data Use and Sharing,Data Use and Sharing
privacy.sections.use.li1,Provide and maintain the service.,Provide and maintain the service.
privacy.sections.use.li2,"Safeguard service integrity, detect abuse, and improve features.","Safeguard service integrity, detect abuse, and improve features."
privacy.sections.use.li3,Comply with legal obligations. We do not sell personal data.,Comply with legal obligations. We do not sell personal data.
privacy.sections.rights.title,Your Choices and Rights,Your Choices and Rights
privacy.sections.rights.li1,Opt‑out or manage ad personalization using the links above.,Opt‑out or manage ad personalization using the links above.
privacy.sections.rights.li2,Control cookies via your browser settings.,Control cookies via your browser settings.
privacy.sections.rights.li3,"Contact us to exercise applicable privacy rights (access, correction, deletion as required by law).","Contact us to exercise applicable privacy rights (access, correction, deletion as required by law)."
privacy.sections.children.title,Children's Privacy,Children’s Privacy
privacy.sections.children.p1,The service is not directed to children under 13 (or the age required by local law). We do not knowingly collect personal information from children.,The service is not directed to children under 13 (or the age required by local law). We do not knowingly collect personal information from children.
privacy.sections.changes.title,Changes to this Policy,Changes to this Policy
privacy.sections.changes.p1,We may update this policy from time to time. Material changes will be highlighted on this page with an updated date. Your continued use of the site indicates acceptance of the updated policy.,We may update this policy from time to time. Material changes will be highlighted on this page with an updated date. Your continued use of the site indicates acceptance of the updated policy.
privacy.sections.contact.title,Contact,Contact
privacy.sections.contact.p1,"For privacy inquiries, please see the Contact page.","For privacy inquiries, please see the Contact page."
privacy.sections.contact.emailTitle,Email Pixel Art Village about privacy,Email Pixel Art Village about privacy
privacy.seoTitle,Privacy Policy | pixel art Village,Privacy Policy | pixel art Village
privacy.seoDesc,"pixel art Village privacy policy: local image processing, AdSense cookies, third‑party partners, your choices and rights, contact info.","pixel art Village privacy policy: local image processing, AdSense cookies, third‑party partners, your choices and rights, contact info."
privacy.meta.ogTitle,Privacy Policy | Image to Pixel Art Converter,Privacy Policy | Image to Pixel Art Converter
privacy.meta.ogDescription,"Privacy policy for our image to pixel art converter: local image processing, AdSense cookies, third‑party partners, your choices and rights, contact info.","Privacy policy for our image to pixel art converter: local image processing, AdSense cookies, third‑party partners, your choices and rights, contact info."
privacy.meta.twitterTitle,Privacy Policy | Pixel Art Village,Privacy Policy | Pixel Art Village
privacy.meta.twitterDescription,"Pixel Art Village privacy policy: local image processing, AdSense cookies, third‑party partners, your choices and rights, contact info.","Pixel Art Village privacy policy: local image processing, AdSense cookies, third‑party partners, your choices and rights, contact info."
privacy.quickLinks.heading,Quick Links,Quick Links
privacy.quickLinks.mainSite,Main Site,Main Site
privacy.quickLinks.popularConverters,Popular Converters,Popular Converters
privacy.quickLinks.links.home,Pixel Art Converter,Pixel Art Converter
privacy.quickLinks.links.about,About Us,About Us
privacy.quickLinks.links.contact,Contact,Contact
privacy.quickLinks.links.blog,Blog,Blog
privacy.quickLinks.links.png,PNG to Pixel Art,PNG to Pixel Art
privacy.quickLinks.links.jpg,JPG to Pixel Art,JPG to Pixel Art
privacy.quickLinks.links.image,Image to Pixel Art,Image to Pixel Art
privacy.quickLinks.links.photo,Photo to Pixel Art,Photo to Pixel Art
terms.seoTitle,Terms of Service | Pixel Art Village,Terms of Service | Pixel Art Village
terms.meta.ogTitle,Terms of Service | Image to Pixel Art Converter,Terms of Service | Image to Pixel Art Converter
terms.meta.ogDescription,"Terms of service for our image to pixel art converter: usage rules, responsibilities, disclaimer, IP, governing law, contact info.","Terms of service for our image to pixel art converter: usage rules, responsibilities, disclaimer, IP, governing law, contact info."
terms.meta.twitterTitle,Terms of Service | Pixel Art Village,Terms of Service | Pixel Art Village
terms.meta.twitterDescription,"Pixel Art Village terms of service: usage rules, responsibilities, disclaimer, IP, governing law, contact info.","Pixel Art Village terms of service: usage rules, responsibilities, disclaimer, IP, governing law, contact info."
terms.quickLinks.heading,Quick Links,Quick Links
terms.quickLinks.mainSite,Main Site,Main Site
terms.quickLinks.popularConverters,Popular Converters,Popular Converters
terms.quickLinks.links.home,Pixel Art Converter,Pixel Art Converter
terms.quickLinks.links.about,About Us,About Us
terms.quickLinks.links.contact,Contact,Contact
terms.quickLinks.links.blog,Blog,Blog
terms.quickLinks.links.png,PNG to Pixel Art,PNG to Pixel Art
terms.quickLinks.links.jpg,JPG to Pixel Art,JPG to Pixel Art
terms.quickLinks.links.image,Image to Pixel Art,Image to Pixel Art
terms.quickLinks.links.photo,Photo to Pixel Art,Photo to Pixel Art
terms.h1,Terms of Service,Terms of Service
terms.sections.acceptance.title,Acceptance of Terms,Acceptance of Terms
terms.sections.acceptance.p1,"By accessing or using pixel art Village (the ""Service""), you agree to be bound by these Terms. If you do not agree, do not use the Service.","By accessing or using pixel art Village (the “Service”), you agree to be bound by these Terms. If you do not agree, do not use the Service."
terms.sections.use.title,Use of the Service,Use of the Service
terms.sections.use.li1,Upload only content you have the rights to use. You are responsible for your content and compliance with applicable laws.,Upload only content you have the rights to use. You are responsible for your content and compliance with applicable laws.
terms.sections.use.li2,"Do not abuse, interfere with, or disrupt the Service or other users.","Do not abuse, interfere with, or disrupt the Service or other users."
terms.sections.use.li3,"Do not use the Service for illegal, harmful, or infringing activities.","Do not use the Service for illegal, harmful, or infringing activities."
terms.sections.ip.title,Intellectual Property,Intellectual Property
terms.sections.ip.p1,"We retain all rights to the Service and related materials. You retain rights to your original uploads and generated outputs, subject to your applicable rights and third‑party rights.","We retain all rights to the Service and related materials. You retain rights to your original uploads and generated outputs, subject to your applicable rights and third‑party rights."
terms.sections.processing.title,Image Processing,Image Processing
terms.sections.processing.p1,Image processing is performed locally in your browser. We do not store your uploaded images on our servers.,Image processing is performed locally in your browser. We do not store your uploaded images on our servers.
terms.sections.disclaimer.title,Disclaimer of Warranties,Disclaimer of Warranties
terms.sections.disclaimer.p1,"The Service is provided ""as is"" and ""as available"" without warranties of any kind, express or implied. We do not warrant that the Service will be uninterrupted or error‑free.","The Service is provided “as is” and “as available” without warranties of any kind, express or implied. We do not warrant that the Service will be uninterrupted or error‑free."
terms.sections.liability.title,Limitation of Liability,Limitation of Liability
terms.sections.liability.p1,"To the maximum extent permitted by law, we shall not be liable for any indirect, incidental, special, consequential, or punitive damages arising from or related to your use of the Service.","To the maximum extent permitted by law, we shall not be liable for any indirect, incidental, special, consequential, or punitive damages arising from or related to your use of the Service."
terms.sections.changes.title,Changes to the Service or Terms,Changes to the Service or Terms
terms.sections.changes.p1,We may modify or discontinue the Service and update these Terms at any time. Continued use of the Service constitutes acceptance of updated Terms.,We may modify or discontinue the Service and update these Terms at any time. Continued use of the Service constitutes acceptance of updated Terms.
terms.sections.law.title,Governing Law,Governing Law
terms.sections.law.p1,These Terms are governed by applicable laws in your jurisdiction to the extent not preempted by other laws. Venue and jurisdiction will follow applicable conflict of laws rules.,These Terms are governed by applicable laws in your jurisdiction to the extent not preempted by other laws. Venue and jurisdiction will follow applicable conflict of laws rules.
terms.sections.contact.title,Contact,Contact
terms.sections.contact.p1,"For questions about these Terms, please see the Contact page.","For questions about these Terms, please see the Contact page."
terms.sections.contact.emailTitle,Email Pixel Art Village about terms,Email Pixel Art Village about terms
about.seoTitle,About | pixel art Village,About | pixel art Village
about.seoDesc,"About pixel art Village: a free, browser‑based pixel art maker & converter. Privacy‑first, fast, and accessible.","About pixel art Village: a free, browser‑based pixel art maker & converter. Privacy‑first, fast, and accessible."
about.ogTitle,About | Pixel Art Village,About | Pixel Art Village
about.ogDesc,"Learn about Pixel Art Village, the privacy-first pixel art converter with instant preview, palettes, and tutorials.","Learn about Pixel Art Village, the privacy-first pixel art converter with instant preview, palettes, and tutorials."
about.twitterTitle,About | Pixel Art Village,About | Pixel Art Village
about.twitterDesc,Discover who created Pixel Art Village and how our privacy-first pixel art converter works.,Discover who created Pixel Art Village and how our privacy-first pixel art converter works.
about.h1,About pixel art Village,About pixel art Village
about.p1,"pixel art Village is a free, browser‑based pixel image maker & converter. Upload a PNG/JPG image, tweak pixel size and palettes, preview instantly, and export crisp image results.","pixel art Village is a free, browser‑based pixel image maker & converter. Upload a PNG/JPG image, tweak pixel size and palettes, preview instantly, and export crisp image results."
about.p2,"We focus on privacy, speed, and accessibility so you can convert images to pixel art without uploads or signups.","We focus on privacy, speed, and accessibility so you can convert images to pixel art without uploads or signups."
about.p3,"Our team builds educational resources and specialized tools for artists, educators, and indie game developers.","Our team builds educational resources and specialized tools for artists, educators, and indie game developers."
about.cta,Try our <tool>converter tool</tool> or explore our <blog>blog</blog> for tips and tutorials.,Try our <tool>converter tool</tool> or explore our <blog>blog</blog> for tips and tutorials.
about.specializedLinks,"Need format-specific workflows? <png>PNG to Pixel Art</png>, <jpg>JPG to Pixel Art</jpg>, and <photo>Photo to Sprite Converter</photo> tools are ready to help.","Need format-specific workflows? <png>PNG to Pixel Art</png>, <jpg>JPG to Pixel Art</jpg>, and <photo>Photo to Sprite Converter</photo> tools are ready to help."
about.moreInfoRich,Find more details in our <privacy>Privacy Policy</privacy> and <terms>Terms of Service</terms>.,Find more details in our <privacy>Privacy Policy</privacy> and <terms>Terms of Service</terms>.
about.principles.title,Principles,Principles
about.principles.privacy.title,Privacy‑first:,Privacy‑first:
about.principles.privacy.desc,Your images are processed locally in your browser — we do not upload files.,Your images are processed locally in your browser — we do not upload files.
about.principles.performance.title,Performance:,Performance:
about.principles.performance.desc,Fast previews and clean exports without heavy dependencies.,Fast previews and clean exports without heavy dependencies.
about.principles.accessibility.title,Accessibility:,Accessibility:
about.principles.accessibility.desc,Keyboard‑friendly UI and visible focus states.,Keyboard‑friendly UI and visible focus states.
about.contact.title,Contact,Contact
about.contact.p1,See the Contact page for support and inquiries. You can also email us directly at,See the Contact page for support and inquiries. You can also email us directly at
about.contact.emailTitle,Email Pixel Art Village,Email Pixel Art Village
contact.seoTitle,Contact | Pixel Art Village,Contact | Pixel Art Village
contact.seoDesc,"Contact Pixel Art Village for support, feedback, or partnerships. Reach us quickly via email or explore resources for immediate answers.","Contact Pixel Art Village for support, feedback, or partnerships. Reach us quickly via email or explore resources for immediate answers."
contact.ogTitle,Contact | Pixel Art Village,Contact | Pixel Art Village
contact.ogDesc,"Get in touch with Pixel Art Village: support, feedback, partnership inquiries, and additional resources.","Get in touch with Pixel Art Village: support, feedback, partnership inquiries, and additional resources."
contact.twitterTitle,Contact | Pixel Art Village,Contact | Pixel Art Village
contact.twitterDesc,"Need help with Pixel Art Village? Contact us for support, feedback, or collaboration.","Need help with Pixel Art Village? Contact us for support, feedback, or collaboration."
contact.h1,Contact,Contact
contact.p1,"We'd love to hear from you. For support, feedback, or partnership inquiries, reach out via email.","We’d love to hear from you. For support, feedback, or partnership inquiries, reach out via email."
contact.p2,"Before contacting us, you might find answers in our","Before contacting us, you might find answers in our"
contact.p3,blog,blog
contact.p4,or visit our,or visit our
contact.p5,pixel art converter tool,pixel art converter tool
contact.p6,to get started. Also check our,to get started. Also check our
contact.p7,about page,about page
contact.p8,for more information.,for more information.
contact.p9,"For specific converter help, try our","For specific converter help, try our"
contact.p10,PNG to pixel art,PNG to pixel art
contact.p11,or,or
contact.p12,image to pixel art,image to pixel art
contact.p13,guides.,guides.
contact.emailLabel,Email:,Email:
contact.emailTitle,Email Pixel Art Village,Email Pixel Art Village
contact.note,Replace the email placeholder with your official contact address to meet AdSense review requirements.,Replace the email placeholder with your official contact address to meet AdSense review requirements.
faq.title,pixel art Village: Frequently Asked Questions,pixel art Village: Frequently Asked Questions
